Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1104,Li & Fung,Trading Companies,Hong Kong/China,8740.0,280,2820.0,12770.0
2009,888,Li & Fung,Trading Companies,Hong Kong/China,11860.0,390,4060.0,8070.0
2010,780,Li & Fung,Trading Companies,Hong Kong/China,14290.0,310,4830.0,18160.0
2011,808,Li & Fung,Trading Companies,Hong Kong-China,13475.0,434.5,5389.0,22986.0
2012,612,Li & Fung,Trading Companies,Hong Kong-China,20030.0,681.0,10920.0,19933.0
2013,716,Li & Fung,Trading Companies,Hong Kong-China,20222.0,617.0,12015.0,11485.0
2014,690,Li & Fung,Trading Companies,Hong Kong,20745.0,785.2,12488.0,12545.0
2015,1150,Li & Fung,Trading Companies,Hong Kong,19288.0,441.2,8477.0,8185.0
2016,1300,Li & Fung,Trading Companies,Hong Kong,18831.0,421.0,7933.0,5403.0
2017,1716,Li & Fung,Trading Companies,Hong Kong,16760.0,223.1,7693.0,3607.0
2018,1849,Li & Fung,Trading Companies,Hong Kong,13532.0,217.8,6518.0,4604.0
2019,1947,Li & Fung,Trading Companies,Hong Kong,12701.0,103.0,5341.0,1546.0
