Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1038,MISC,Transportation,Malaysia,3240.0,830,8090.0,10480.0
2009,875,MISC,Transportation,Malaysia,4050.0,760,9080.0,8580.0
2010,907,MISC,Transportation,Malaysia,4330.0,390,10080.0,10660.0
2011,1336,MISC,Transportation,Malaysia,4223.0,209.1,12586.0,11013.0
2012,1245,MISC,Transportation,Malaysia,3928.0,596.0,12665.0,7519.0
2013,1842,MISC,Transportation,Malaysia,3070.0,250.0,12219.0,7437.0
2014,1276,MISC,Transportation,Malaysia,2848.0,661.9,12283.0,9444.0
2015,1318,MISC,Transportation,Malaysia,2841.0,673.7,11893.0,10603.0
2016,1344,MISC,Transportation,Malaysia,2790.0,631.2,11072.0,10145.0
2017,1543,MISC,Transportation,Malaysia,2317.0,623.2,12517.0,7357.0
