Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,453,Macy's,Retailing,United States,26310.0,890,27790.0,10360.0
2009,718,Macy's,Retailing,United States,24890.0,280,27530.0,3310.0
2010,525,Macy's,Retailing,United States,23490.0,350,21300.0,8330.0
2011,505,Macy's,Retailing,United States,25003.0,847.0,20631.0,10049.0
2012,405,Macy's,Retailing,United States,26405.0,1256.0,22095.0,16456.0
2013,421,Macy's,Retailing,United States,27686.0,1335.0,20991.0,16198.0
2014,397,Macy's,Retailing,United States,27931.0,1486.0,21623.0,21715.0
2015,411,Macy's,Retailing,United States,28105.0,1526.0,21461.0,23273.0
2016,515,Macy's,Retailing,United States,27079.0,1072.0,20576.0,12770.0
2017,737,Macy's,Retailing,United States,25778.0,619.0,21164.0,8881.0
2018,729,Macy's,Retailing,United States,24837.0,1548.0,20052.0,9068.0
2019,786,Macy's,Retailing,United States,25740.0,1107.0,19863.0,7731.0
2020,1000,Macy's,Retailing,United States,25330.0,564.0,22583.0,1815.0
2021,1469,Macy's,Retailing,United States,18098.0,-3943.0,19096.0,5231.0
2022,975,Macy's,Retailing,United States,25291.0,1429.0,18851.0,6914.0
