Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1775,Magnit,Food Markets,Russia,4380.0,150,1840.0,5860.0
2011,1311,Magnit,Food Markets,Russia,5608.0,288.2,2528.0,11749.0
2012,1034,Magnit,Food Markets,Russia,11423.0,414.6,4791.0,11664.0
2013,759,Magnit,Food Markets,Russia,14430.0,804.0,5480.0,18798.0
2014,670,Magnit,Food Markets,Russia,18210.0,1122.1,7029.0,22352.0
2015,701,Magnit,Food Markets,Russia,19836.0,1241.7,6128.0,20386.0
2016,774,Magnit,Food Markets,Russia,15564.0,972.7,5579.0,14578.0
2017,813,Magnit,Food Markets,Russia,15983.0,808.7,7542.0,15614.0
2018,1152,Magnit,Food Markets,Russia,19595.0,608.3,9155.0,8097.0
2019,1370,Magnit,Food Markets,Russia,19691.0,539.0,8816.0,5726.0
2020,1537,Magnit,Food Markets,Russia,21153.0,147.8,15274.0,5085.0
2021,1335,Magnit,Food Markets,Russia,21474.0,456.0,13001.0,6884.0
2022,1332,Magnit,Food Markets,Russia,25185.0,652.7,16439.0,5492.0
