Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1572,Makita,Consumer Durables,Japan,3430.0,460,3860.0,2760.0
2010,1751,Makita,Consumer Durables,Japan,3020.0,340,3360.0,4550.0
2013,1954,Makita,Consumer Durables,Japan,3572.0,392.6,4647.0,6359.0
2014,1951,Makita,Consumer Durables,Japan,3754.0,394.2,4884.0,7470.0
2016,1953,Makita,Consumer Durables,Japan,3533.0,342.6,4760.0,8694.0
2017,1836,Makita,Consumer Durables,Japan,3735.0,399.5,4983.0,9524.0
2018,1709,Makita,Consumer Durables,Japan,4306.0,494.0,6122.0,12460.0
2019,1892,Makita,Consumer Durables,Japan,4428.0,508.0,5923.0,9984.0
2020,1952,Makita,Consumer Durables,Japan,4558.0,469.4,6459.0,8938.0
2021,1690,Makita,Consumer Durables,Japan,5250.0,525.0,7280.0,12726.0
