Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,997,Manpower,Business Services & Supplies,United States,20500.0,480,7220.0,4520.0
2009,1306,Manpower,Business Services & Supplies,United States,21550.0,220,6620.0,2180.0
2010,1440,Manpower,Business Services & Supplies,United States,16040.0,-10,6210.0,4170.0
2011,1479,Manpower,Business Services & Supplies,United States,18866.0,-263.6,6730.0,5183.0
2012,1603,Manpower,Business Services & Supplies,United States,22006.0,251.6,6900.0,3726.0
2013,1662,Manpower,Business Services & Supplies,United States,20678.0,197.6,7013.0,4475.0
2014,1375,Manpower,Business Services & Supplies,United States,20250.0,288.0,7288.0,6502.0
2015,1249,Manpower,Business Services & Supplies,United States,20759.0,427.6,7182.0,6791.0
2016,1239,Manpower,Business Services & Supplies,United States,19375.0,425.2,7548.0,5852.0
2017,1238,Manpower,Business Services & Supplies,United States,19654.0,443.7,7574.0,6598.0
2019,1330,Manpower,Business Services & Supplies,United States,21991.0,557.0,8520.0,5826.0
2020,1544,Manpower,Business Services & Supplies,United States,20438.0,413.9,8677.0,4356.0
2021,1835,Manpower,Business Services & Supplies,United States,18001.0,23.8,9328.0,6046.0
2022,1786,Manpower,Business Services & Supplies,United States,20943.0,412.0,9721.0,4944.0
