Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,409,Mapfre,Insurance,Spain,16970.0,1000,54870.0,10330.0
2009,315,Mapfre,Insurance,Spain,22040.0,1250,57140.0,5650.0
2010,277,Mapfre,Insurance,Spain,22820.0,1330,57260.0,10500.0
2011,353,Mapfre,Insurance,Spain,22781.0,1238.4,65055.0,10922.0
2012,357,Mapfre,Insurance,Spain,25504.0,1247.4,65279.0,10384.0
2013,399,Mapfre,Insurance,Spain,27106.0,878.2,69178.0,10743.0
2014,376,Mapfre,Insurance,Spain,27332.0,1049.4,74105.0,13186.0
2015,402,Mapfre,Insurance,Spain,27862.0,1121.0,77279.0,11687.0
2016,513,Mapfre,Insurance,Spain,22572.0,786.0,64765.0,8152.0
2017,475,Mapfre,Insurance,Spain,23302.0,857.9,67449.0,10515.0
2018,566,Mapfre,Insurance,Spain,24913.0,796.2,78743.0,10655.0
2019,646,Mapfre,Insurance,Spain,25167.0,624.0,70198.0,9168.0
2020,731,Mapfre,Insurance,Spain,24534.0,590.5,76728.0,5587.0
2021,729,Mapfre,Insurance,Spain,20997.0,600.3,78031.0,6467.0
2022,808,Mapfre,Insurance,Spain,23479.0,904.5,65696.0,6243.0
