Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1517,Markel,Insurance,United States,2480.0,410,10130.0,4630.0
2010,1907,Markel,Insurance,United States,2070.0,200,10240.0,3470.0
2014,1394,Markel,Insurance,United States,4309.0,283.0,24624.0,8333.0
2015,1244,Markel,Insurance,United States,5129.0,313.0,25200.0,10797.0
2016,867,Markel,Insurance,United States,5415.0,586.9,25626.0,12576.0
2017,976,Markel,Insurance,United States,5625.0,440.2,25875.0,13631.0
2018,1102,Markel,Insurance,United States,6344.0,247.6,32866.0,16088.0
2019,1098,Markel,Insurance,United States,7269.0,-133.0,33755.0,14070.0
2020,1093,Markel,Insurance,United States,8106.0,-193.0,34789.0,11927.0
2021,704,Markel,Insurance,United States,9739.0,787.3,34935.0,16733.0
2022,565,Markel,Insurance,United States,12838.0,2471.9,39357.0,19893.0
