Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,724,Marriott International,"Hotels, Restaurants & Leisure",United States,12990.0,700,8940.0,12070.0
2009,829,Marriott International,"Hotels, Restaurants & Leisure",United States,12880.0,360,8900.0,4950.0
2010,1081,Marriott International,"Hotels, Restaurants & Leisure",United States,10910.0,-350,7930.0,9760.0
2011,793,Marriott International,"Hotels, Restaurants & Leisure",United States,11691.0,458.0,8983.0,14037.0
2012,1246,Marriott International,"Hotels, Restaurants & Leisure",United States,12317.0,198.0,5910.0,12734.0
2013,929,Marriott International,"Hotels, Restaurants & Leisure",United States,11814.0,571.0,6342.0,12603.0
2014,878,Marriott International,"Hotels, Restaurants & Leisure",United States,12784.0,626.0,6794.0,16784.0
2015,811,Marriott International,"Hotels, Restaurants & Leisure",United States,13796.0,753.0,6865.0,22201.0
2016,777,Marriott International,"Hotels, Restaurants & Leisure",United States,14480.0,859.0,6082.0,16909.0
2017,467,Marriott International,"Hotels, Restaurants & Leisure",United States,17072.0,780.0,24140.0,34881.0
2018,421,Marriott International,"Hotels, Restaurants & Leisure",United States,22339.0,1405.0,24484.0,49406.0
2019,411,Marriott International,"Hotels, Restaurants & Leisure",United States,20758.0,1907.0,23696.0,45255.0
2020,458,Marriott International,"Hotels, Restaurants & Leisure",United States,20972.0,1273.0,25051.0,29485.0
2021,868,Marriott International,"Hotels, Restaurants & Leisure",United States,10593.0,-267.0,24701.0,48389.0
2022,612,Marriott International,"Hotels, Restaurants & Leisure",United States,13857.0,1099.0,25553.0,58739.0
