Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,474,Marsh & McLennan,Insurance,United States,11350.0,2480,17160.0,13240.0
2009,832,Marsh & McLennan,Insurance,United States,11580.0,-70,15210.0,9230.0
2010,694,Marsh & McLennan,Insurance,United States,10490.0,240,15320.0,12370.0
2011,560,Marsh & McLennan,Insurance,United States,10550.0,851.0,15310.0,16470.0
2012,566,Marsh & McLennan,Insurance,United States,11526.0,993.0,15454.0,17911.0
2013,549,Marsh & McLennan,Insurance,United States,11924.0,1176.0,16288.0,20339.0
2014,531,Marsh & McLennan,Insurance,United States,12308.0,1351.0,16980.0,27194.0
2015,518,Marsh & McLennan,Insurance,United States,12951.0,1439.0,17840.0,30684.0
2016,457,Marsh & McLennan,Insurance,United States,12931.0,1602.0,18216.0,32423.0
2017,458,Marsh & McLennan,Insurance,United States,13199.0,1768.0,18190.0,37836.0
2018,500,Marsh & McLennan,Insurance,United States,14536.0,1613.0,21379.0,41387.0
2019,488,Marsh & McLennan,Insurance,United States,14913.0,1650.0,21578.0,47569.0
2020,352,Marsh & McLennan,Insurance,United States,17242.0,1780.0,31391.0,49249.0
2021,313,Marsh & McLennan,Insurance,United States,17198.0,2016.0,33049.0,64928.0
2022,340,Marsh & McLennan,Insurance,United States,20326.0,3231.0,33688.0,85877.0
