Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,326,McKesson,Drugs & Biotechnology,United States,99640.0,940,25370.0,16970.0
2009,283,McKesson,Drugs & Biotechnology,United States,106640.0,850,25300.0,11230.0
2010,229,McKesson,Drugs & Biotechnology,United States,108280.0,1200,27540.0,16270.0
2011,279,McKesson,Drugs & Biotechnology,United States,109874.0,1128.0,30396.0,19784.0
2012,267,McKesson,Drugs & Biotechnology,United States,119888.0,1304.0,33157.0,21549.0
2013,238,McKesson,Drugs & Biotechnology,United States,123534.0,1600.0,33433.0,25730.0
2014,243,McKesson,Drugs & Biotechnology,United States,130088.0,1151.0,36479.0,40512.0
2015,172,McKesson,Drugs & Biotechnology,United States,173962.0,1715.0,55110.0,52257.0
2016,159,McKesson,Drugs & Biotechnology,United States,189131.0,1959.0,55087.0,40746.0
2017,188,McKesson,Drugs & Biotechnology,United States,196498.0,2030.0,57874.0,30517.0
2018,170,McKesson,Drugs & Biotechnology,United States,205442.0,4798.0,64213.0,30788.0
2019,580,McKesson,Drugs & Biotechnology,United States,213518.0,-316.0,61011.0,21887.0
2020,535,McKesson,Drugs & Biotechnology,United States,224945.0,-917.0,60873.0,25013.0
2021,546,McKesson,Drugs & Biotechnology,United States,237621.0,-4184.0,61845.0,30716.0
2022,278,McKesson,Drugs & Biotechnology,United States,257006.0,1412.0,63708.0,47663.0
