Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,1860,Metropolitan Bank & Trust,Banking,Philippines,1453.0,251.6,21680.0,4386.0
2013,1666,Metropolitan Bank & Trust,Banking,Philippines,1453.0,251.6,21680.0,5979.0
2014,1381,Metropolitan Bank & Trust,Banking,Philippines,1877.0,518.3,31104.0,4884.0
2015,1297,Metropolitan Bank & Trust,Banking,Philippines,1762.0,447.6,35892.0,7148.0
2016,1379,Metropolitan Bank & Trust,Banking,Philippines,1844.0,397.9,37450.0,5753.0
2017,1531,Metropolitan Bank & Trust,Banking,Philippines,1967.0,375.2,37761.0,5540.0
2018,1750,Metropolitan Bank & Trust,Banking,Philippines,2096.0,364.7,39590.0,6556.0
2019,1639,Metropolitan Bank & Trust,Banking,Philippines,2280.0,418.0,42673.0,5996.0
2020,1453,Metropolitan Bank & Trust,Banking,Philippines,2834.0,533.5,46730.0,3483.0
2021,1929,Metropolitan Bank & Trust,Banking,Philippines,2895.0,278.8,51164.0,4155.0
2022,1945,Metropolitan Bank & Trust,Banking,Philippines,2338.0,449.5,49106.0,4762.0
