Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,527,Mitsubishi Chemical,Chemicals,Japan,22320.0,850,19590.0,9400.0
2009,348,Mitsubishi Chemical,Chemicals,Japan,29360.0,1640,27520.0,5170.0
2010,769,Mitsubishi Chemical,Chemicals,Japan,29880.0,-690,27010.0,6860.0
2011,741,Mitsubishi Chemical,Chemicals,Japan,26911.0,137.3,34684.0,10074.0
2012,449,Mitsubishi Chemical,Chemicals,Japan,38096.0,1005.5,38422.0,8102.0
2013,631,Mitsubishi Chemical,Chemicals,Japan,38755.0,428.7,37366.0,7379.0
2014,736,Mitsubishi Chemical,Chemicals,Japan,33438.0,479.6,33417.0,6040.0
2015,600,Mitsubishi Chemical,Chemicals,Japan,34933.0,663.9,36895.0,9025.0
2016,851,Mitsubishi Chemical,Chemicals,Japan,31630.0,139.2,35833.0,8103.0
2017,435,Mitsubishi Chemical,Chemicals,Japan,31798.0,1350.9,38052.0,11067.0
2018,441,Mitsubishi Chemical,Chemicals,Japan,33604.0,1910.6,44199.0,13417.0
2019,475,Mitsubishi Chemical,Chemicals,Japan,35258.0,1891.0,51168.0,10079.0
2020,599,Mitsubishi Chemical,Chemicals,Japan,34147.0,732.2,49810.0,8199.0
2021,879,Mitsubishi Chemical,Chemicals,Japan,30020.0,-655.9,49607.0,11035.0
2022,665,Mitsubishi Chemical,Chemicals,Japan,34607.0,1478.1,47395.0,8741.0
