Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,885,Mitsubishi Motors,Consumer Durables,Japan,18750.0,70,15060.0,9450.0
2009,604,Mitsubishi Motors,Consumer Durables,Japan,26870.0,350,16070.0,6510.0
2010,921,Mitsubishi Motors,Consumer Durables,Japan,20270.0,-560,11440.0,7990.0
2011,1044,Mitsubishi Motors,Consumer Durables,Japan,15468.0,50.9,13406.0,7446.0
2012,1046,Mitsubishi Motors,Consumer Durables,Japan,21997.0,187.9,15725.0,6379.0
2013,975,Mitsubishi Motors,Consumer Durables,Japan,21832.0,289.0,15948.0,6820.0
2014,636,Mitsubishi Motors,Consumer Durables,Japan,21011.0,1117.0,14319.0,10283.0
2015,756,Mitsubishi Motors,Consumer Durables,Japan,20437.0,1084.9,13739.0,8982.0
2016,1005,Mitsubishi Motors,Consumer Durables,Japan,18619.0,795.7,12148.0,4446.0
2017,1193,Mitsubishi Motors,Consumer Durables,Japan,17924.0,-2001.5,13342.0,9016.0
2018,810,Mitsubishi Motors,Consumer Durables,Japan,19781.0,971.0,15565.0,11702.0
2019,830,Mitsubishi Motors,Consumer Durables,Japan,22350.0,966.0,17118.0,8553.0
2020,1172,Mitsubishi Motors,Consumer Durables,Japan,21901.0,476.5,17738.0,4245.0
2021,1608,Mitsubishi Motors,Consumer Durables,Japan,14575.0,-2416.3,17342.0,4278.0
2022,1732,Mitsubishi Motors,Consumer Durables,Japan,17464.0,-214.9,16172.0,3695.0
