Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,914,Murata Manufacturing,Technology Hardware & Equipment,Japan,4820.0,610,8580.0,12270.0
2009,735,Murata Manufacturing,Technology Hardware & Equipment,Japan,6330.0,780,10270.0,8270.0
2010,1183,Murata Manufacturing,Technology Hardware & Equipment,Japan,5380.0,40,9000.0,11880.0
2011,1071,Murata Manufacturing,Consumer Durables,Japan,5680.0,264.9,9837.0,14691.0
2012,827,Murata Manufacturing,Consumer Durables,Japan,7434.0,643.5,11810.0,13391.0
2013,989,Murata Manufacturing,Consumer Durables,Japan,7063.0,372.1,12041.0,15559.0
2014,776,Murata Manufacturing,Consumer Durables,Japan,8431.0,877.2,11592.0,21280.0
2015,671,Murata Manufacturing,Consumer Durables,Japan,9216.0,1414.7,11707.0,32339.0
2016,593,Murata Manufacturing,Consumer Durables,Japan,10039.0,1756.4,12556.0,28962.0
2017,622,Murata Manufacturing,Consumer Durables,Japan,10375.0,1423.1,13860.0,28400.0
2018,632,Murata Manufacturing,Consumer Durables,Japan,12378.0,1318.1,16897.0,29460.0
2019,541,Murata Manufacturing,Technology Hardware & Equipment,Japan,14077.0,1757.0,18660.0,33891.0
2020,498,Murata Manufacturing,Technology Hardware & Equipment,Japan,14037.0,1699.8,20640.0,36012.0
2021,406,Murata Manufacturing,Technology Hardware & Equipment,Japan,14832.0,1990.8,23259.0,52877.0
2022,514,Murata Manufacturing,Technology Hardware & Equipment,Japan,16282.0,2832.0,23075.0,38943.0
