Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,761,Neste Oil,Oil & Gas Operations,Finland,17670.0,840,7100.0,9040.0
2009,1216,Neste Oil,Oil & Gas Operations,Finland,20950.0,140,6540.0,3210.0
2010,1062,Neste Oil,Oil & Gas Operations,Finland,13810.0,320,8160.0,3640.0
2011,1261,Neste Oil,Oil & Gas Operations,Finland,15920.0,306.6,8898.0,4360.0
2012,1495,Neste Oil,Oil & Gas Operations,Finland,19974.0,204.7,9375.0,3052.0
2013,1524,Neste Oil,Oil & Gas Operations,Finland,23682.0,207.0,9693.0,3819.0
2014,1034,Neste Oil,Oil & Gas Operations,Finland,23183.0,694.3,9701.0,5304.0
2015,1515,Neste Oil,Oil & Gas Operations,Finland,20475.0,76.9,7858.0,6763.0
2016,1040,Neste Oil,Oil & Gas Operations,Finland,12343.0,618.8,7379.0,8421.0
2017,936,Neste Oil,Oil & Gas Operations,Finland,12929.0,1039.8,7872.0,9973.0
2018,784,Neste Oil,Oil & Gas Operations,Finland,16096.0,1235.2,9889.0,20583.0
