Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,136,News Corp,Media,United States,30550.0,3330,68920.0,57570.0
2009,522,News Corp,Media,United States,32720.0,-2080,50230.0,14530.0
2010,125,News Corp,Media,United States,30930.0,3350,56130.0,37930.0
2011,149,News Corp,Media,United States,33082.0,3131.0,56712.0,45525.0
2012,158,News Corp,Media,United States,34152.0,3013.0,59936.0,49506.0
2013,137,News Corp,Media,United States,34333.0,3998.0,62745.0,70595.0
2014,922,News Corp,Media,United States,8808.0,506.0,15983.0,10098.0
2015,1299,News Corp,Media,United States,8694.0,269.0,15970.0,9405.0
2016,1379,News Corp,Media,United States,8378.0,-117.0,14875.0,7529.0
2017,1514,News Corp,Media,United States,8144.0,-363.0,14527.0,7273.0
2018,1642,News Corp,Media,United States,8385.0,-1572.0,13372.0,8846.0
2019,1559,News Corp,Media,United States,9937.0,-1303.0,16227.0,7324.0
2020,1737,News Corp,Media,United States,9742.0,-183.0,16282.0,5830.0
2021,1496,News Corp,Media,United States,8720.0,-862.0,15094.0,15772.0
2022,1577,News Corp,Media,United States,10046.0,496.0,16520.0,12294.0
