Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1817,Nippon Steel Trading,Trading Companies,Japan,10000.0,60,3560.0,450.0
2009,1740,Nippon Steel Trading,Trading Companies,Japan,13510.0,80,4000.0,160.0
2010,1749,Nippon Steel Trading,Trading Companies,Japan,13560.0,80,3850.0,230.0
2011,1903,Nippon Steel Trading,Trading Companies,Japan,9841.0,56.1,3308.0,427.0
2012,1853,Nippon Steel Trading,Diversified Metals & Mining,Japan,12986.0,89.4,4005.0,426.0
2013,1903,Nippon Steel Trading,Diversified Metals & Mining,Japan,13137.0,83.1,4044.0,445.0
2014,1953,Nippon Steel Trading,Diversified Metals & Mining,Japan,12066.0,221.4,6291.0,994.0
2015,1691,Nippon Steel Trading,Diversified Metals & Mining,Japan,19845.0,152.4,5844.0,1055.0
2016,1729,Nippon Steel Trading,Diversified Metals & Mining,Japan,16503.0,142.5,5736.0,1104.0
2017,1726,Nippon Steel Trading,Diversified Metals & Mining,Japan,16431.0,168.9,5764.0,1270.0
2018,1697,Nippon Steel Trading,Diversified Metals & Mining,Japan,18608.0,196.0,7336.0,1911.0
2019,1675,Nippon Steel Trading,Trading Companies,Japan,22075.0,210.0,8986.0,1342.0
2020,1685,Nippon Steel Trading,Trading Companies,Japan,23208.0,203.8,8546.0,1030.0
2021,1787,Nippon Steel Trading,Trading Companies,Japan,19622.0,122.0,8251.0,1190.0
2022,1906,Nippon Steel Trading,Trading Companies,Japan,17623.0,284.7,9579.0,1328.0
