Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,66,Nippon Telegraph & Tel,Telecommunications Services,Japan,91570.0,4060,149710.0,60270.0
2009,26,Nippon Telegraph & Tel,Telecommunications Services,Japan,107020.0,6360,179950.0,59070.0
2010,41,Nippon Telegraph & Tel,Telecommunications Services,Japan,106980.0,5530,181480.0,68680.0
2011,48,Nippon Telegraph & Tel,Telecommunications services,Japan,108941.0,5267.2,193815.0,70348.0
2012,45,Nippon Telegraph & Tel,Telecommunications services,Japan,123969.0,6130.8,226576.0,60816.0
2013,46,Nippon Telegraph & Tel,Telecommunications services,Japan,126929.0,5649.8,226021.0,58229.0
2014,61,Nippon Telegraph & Tel,Telecommunications services,Japan,110672.0,5747.0,189264.0,60960.0
2015,58,Nippon Telegraph & Tel,Telecommunications services,Japan,104700.0,5206.5,172170.0,71531.0
2016,44,Nippon Telegraph & Tel,Telecommunications services,Japan,94232.0,5552.3,172488.0,94540.0
2017,37,Nippon Telegraph & Tel,Telecommunications services,Japan,104972.0,7384.6,180257.0,92230.0
2018,46,Nippon Telegraph & Tel,Telecommunications services,Japan,104808.0,7740.7,191106.0,96119.0
2019,51,Nippon Telegraph & Tel,Telecommunications Services,Japan,107501.0,8740.0,199607.0,80173.0
2020,43,Nippon Telegraph & Tel,Telecommunications Services,Japan,109598.0,7883.2,211104.0,83049.0
2021,43,Nippon Telegraph & Tel,Telecommunications Services,Japan,110283.0,8331.7,231120.0,96726.0
2022,53,Nippon Telegraph & Tel,Telecommunications Services,Japan,110393.0,10151.3,204458.0,103985.0
