Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,635,Novolipetsk Steel,Materials,Russia,6210.0,2120,8720.0,28770.0
2009,570,Novolipetsk Steel,Materials,Russia,8000.0,2330,13090.0,5690.0
2010,390,Novolipetsk Steel,Materials,Russia,11700.0,2280,14060.0,18990.0
2011,943,Novolipetsk Steel,Diversified Metals & Mining,Russia,6430.0,225.2,12489.0,25796.0
2012,661,Novolipetsk Steel,Diversified Metals & Mining,Russia,8320.0,1250.4,13902.0,13955.0
2013,713,Novolipetsk Steel,Diversified Metals & Mining,Russia,12157.0,596.0,18458.0,10682.0
2014,1248,Novolipetsk Steel,Diversified Metals & Mining,Russia,10891.0,190.3,16284.0,7476.0
2015,1016,Novolipetsk Steel,Diversified Metals & Mining,Russia,10301.0,853.7,10406.0,8348.0
2016,1053,Novolipetsk Steel,Diversified Metals & Mining,Russia,7959.0,979.9,8919.0,8340.0
2017,1009,Novolipetsk Steel,Diversified Metals & Mining,Russia,7590.0,906.8,10239.0,11639.0
2018,861,Novolipetsk Steel,Diversified Metals & Mining,Russia,10701.0,1625.1,11230.0,15339.0
2019,791,Novolipetsk Steel,Materials,Russia,12062.0,2242.0,9944.0,16229.0
2020,970,Novolipetsk Steel,Materials,Russia,10143.0,1246.8,9694.0,10401.0
2021,861,Novolipetsk Steel,Materials,Russia,9233.0,1250.1,9862.0,20908.0
2022,823,Novolipetsk Steel,Materials,Russia,16179.0,5031.4,12161.0,12072.0
