Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1967,Novozymes,Drugs & Biotechnology,Denmark,1520.0,200,1840.0,4620.0
2010,1743,Novozymes,Drugs & Biotechnology,Denmark,1630.0,230,2090.0,6410.0
2011,1756,Novozymes,Drugs & Biotechnology,Denmark,1745.0,289.5,2254.0,9057.0
2012,1889,Novozymes,Drugs & Biotechnology,Denmark,1830.0,317.9,2370.0,7860.0
2013,1633,Novozymes,Drugs & Biotechnology,Denmark,1987.0,356.5,2631.0,10984.0
2014,1554,Novozymes,Drugs & Biotechnology,Denmark,2091.0,391.3,3049.0,13789.0
2015,1519,Novozymes,Drugs & Biotechnology,Denmark,2217.0,449.5,3133.0,14875.0
2016,1492,Novozymes,Drugs & Biotechnology,Denmark,2076.0,423.2,2681.0,14448.0
2017,1591,Novozymes,Drugs & Biotechnology,Denmark,2101.0,453.2,2761.0,12197.0
2018,1612,Novozymes,Drugs & Biotechnology,Denmark,2247.0,495.3,3058.0,14438.0
2019,1668,Novozymes,Drugs & Biotechnology,Denmark,2278.0,511.0,3017.0,13226.0
2020,1604,Novozymes,Drugs & Biotechnology,Denmark,2184.0,486.9,3003.0,13799.0
2021,1737,Novozymes,Drugs & Biotechnology,Denmark,2143.0,432.0,3456.0,18078.0
