Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,198,Oil & Natural Gas,Oil & Gas Operations,India,18900.0,4110,33790.0,54110.0
2009,152,Oil & Natural Gas,Oil & Gas Operations,India,24040.0,4950,35350.0,28910.0
2010,155,Oil & Natural Gas,Oil & Gas Operations,India,20210.0,3860,35660.0,51820.0
2011,172,Oil & Natural Gas,Oil & Gas Operations,India,22618.0,4328.9,44558.0,53192.0
2012,171,Oil & Natural Gas,Oil & Gas Operations,India,26318.0,5041.4,50990.0,46592.0
2013,155,Oil & Natural Gas,Oil & Gas Operations,India,28895.0,5533.0,52099.0,50546.0
2014,176,Oil & Natural Gas,Oil & Gas Operations,India,29617.0,4450.1,53810.0,46357.0
2015,183,Oil & Natural Gas,Oil & Gas Operations,India,28689.0,4386.0,59324.0,43665.0
2016,220,Oil & Natural Gas,Oil & Gas Operations,India,26088.0,2998.4,57303.0,27794.0
2017,246,Oil & Natural Gas,Oil & Gas Operations,India,19886.0,2157.3,57720.0,37242.0
2018,266,Oil & Natural Gas,Oil & Gas Operations,India,18730.0,3056.8,65546.0,35720.0
2019,220,Oil & Natural Gas,Oil & Gas Operations,India,49917.0,3429.0,70565.0,29647.0
2020,269,Oil & Natural Gas,Oil & Gas Operations,India,60082.0,4360.0,72611.0,13394.0
2021,665,Oil & Natural Gas,Oil & Gas Operations,India,47340.0,122.6,68792.0,18156.0
2022,229,Oil & Natural Gas,Oil & Gas Operations,India,66276.0,6002.0,75508.0,28619.0
