Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1617,Orient,Diversified Financials,Japan,2660.0,-3930,37930.0,740.0
2009,1602,Orient,Diversified Financials,Japan,2730.0,130,44760.0,360.0
2010,1583,Orient,Diversified Financials,Japan,2540.0,150,44680.0,440.0
2011,1667,Orient,Diversified Financials,Japan,2470.0,86.5,45820.0,932.0
2012,1657,Orient,Diversified Financials,Japan,2672.0,55.6,51432.0,736.0
2013,1703,Orient,Diversified Financials,Japan,2582.0,24.2,51989.0,1893.0
2014,1738,Orient,Diversified Financials,Japan,2104.0,70.7,45062.0,1585.0
2015,1785,Orient,Diversified Financials,Japan,1948.0,151.2,40793.0,1310.0
2016,1782,Orient,Diversified Financials,Japan,1738.0,168.8,41867.0,3616.0
2017,1700,Orient,Diversified Financials,Japan,1991.0,270.2,44813.0,3041.0
2018,1745,Orient,Diversified Financials,Japan,2027.0,252.8,51484.0,2512.0
2019,1773,Orient,Business Services & Supplies,Japan,2084.0,298.0,49421.0,1780.0
2020,1828,Orient,Business Services & Supplies,Japan,2225.0,211.0,51572.0,2032.0
2021,1920,Orient,Business Services & Supplies,Japan,2198.0,169.2,53467.0,2346.0
