Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1952,Oriental Bank of Commerce,Banking,India,1320.0,130,17050.0,1570.0
2009,1869,Oriental Bank of Commerce,Banking,India,1860.0,90,22580.0,560.0
2010,1670,Oriental Bank of Commerce,Banking,India,1930.0,180,22190.0,1490.0
2011,1613,Oriental Bank of Commerce,Banking,India,2556.0,253.1,30612.0,1955.0
2012,1502,Oriental Bank of Commerce,Banking,India,2929.0,337.4,36171.0,1622.0
2013,1827,Oriental Bank of Commerce,Banking,India,3352.0,224.4,34959.0,1490.0
2014,1875,Oriental Bank of Commerce,Banking,India,3464.0,244.0,32205.0,1098.0
2015,1858,Oriental Bank of Commerce,Banking,India,3608.0,161.5,34130.0,1001.0
2016,1863,Oriental Bank of Commerce,Banking,India,3442.0,-6.8,34637.0,476.0
2017,1859,Oriental Bank of Commerce,Banking,India,3206.0,21.7,34902.0,769.0
2018,1880,Oriental Bank of Commerce,Banking,India,3150.0,-835.4,36987.0,777.0
2019,1919,Oriental Bank of Commerce,Banking,India,2851.0,-280.5,35874.0,2082.0
