Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,493,Orkla,"Food, Drink & Tobacco",Norway,11750.0,1550,17440.0,13100.0
2009,925,Orkla,"Food, Drink & Tobacco",Norway,9370.0,-400,14990.0,6070.0
2010,641,Orkla,"Food, Drink & Tobacco",Norway,9700.0,450,16390.0,8160.0
2011,1030,Orkla,"Food, Drink & Tobacco",Norway,9845.0,-157.4,15061.0,9181.0
2012,1254,Orkla,Conglomerates,Norway,10182.0,-129.5,11125.0,8167.0
2013,1516,Orkla,Conglomerates,Norway,5391.0,284.5,10365.0,8397.0
2014,1892,Orkla,Conglomerates,Norway,5619.0,121.1,8590.0,8663.0
2016,1739,Orkla,Conglomerates,Norway,4113.0,410.3,6128.0,8502.0
2017,1580,Orkla,Conglomerates,Norway,4496.0,511.2,6460.0,9062.0
2018,1868,Orkla,Conglomerates,Norway,4950.0,481.5,6687.0,9437.0
2020,1965,Orkla,Conglomerates,Norway,4955.0,436.0,6534.0,9078.0
