Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,1718,PBF Energy,Oil & Gas Operations,United States,20139.0,2.0,4254.0,3834.0
2014,1702,PBF Energy,Oil & Gas Operations,United States,19151.0,39.5,4414.0,2961.0
2015,1694,PBF Energy,Oil & Gas Operations,United States,19828.0,-38.2,5196.0,2747.0
2016,1846,PBF Energy,Oil & Gas Operations,United States,13124.0,146.4,6105.0,3336.0
2017,1737,PBF Energy,Oil & Gas Operations,United States,15920.0,170.8,7622.0,2274.0
2018,1381,PBF Energy,Oil & Gas Operations,United States,22835.0,476.0,8282.0,4635.0
2019,1613,PBF Energy,Oil & Gas Operations,United States,27186.0,128.0,8005.0,3936.0
2020,1672,PBF Energy,Oil & Gas Operations,United States,24508.0,319.0,9132.0,1368.0
2021,1913,PBF Energy,Oil & Gas Operations,United States,15116.0,-1392.5,10500.0,1668.0
2022,1691,PBF Energy,Oil & Gas Operations,United States,27253.0,231.0,12692.0,3213.0
