Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,462,Paccar,Capital Goods,United States,15220.0,1230,17230.0,15910.0
2009,464,Paccar,Capital Goods,United States,14970.0,1020,16250.0,9090.0
2010,918,Paccar,Capital Goods,United States,8090.0,110,14570.0,13120.0
2011,668,Paccar,Capital Goods,United States,10293.0,457.6,14234.0,17817.0
2012,494,Paccar,Capital Goods,United States,16355.0,1042.3,17173.0,16905.0
2013,472,Paccar,Capital Goods,United States,17050.0,1111.6,18628.0,18013.0
2014,454,Paccar,Capital Goods,United States,17124.0,1171.3,20726.0,24048.0
2015,487,Paccar,Capital Goods,United States,18997.0,1358.8,20619.0,22007.0
2016,430,Paccar,Capital Goods,United States,19115.0,1604.0,21110.0,19856.0
2017,631,Paccar,Capital Goods,United States,17009.0,521.7,20639.0,23590.0
2018,483,Paccar,Capital Goods,United States,20852.0,1877.0,23782.0,22442.0
2019,435,Paccar,Capital Goods,United States,23501.0,2195.0,25482.0,24775.0
2020,382,Paccar,Capital Goods,United States,24286.0,2118.3,27295.0,23933.0
2021,438,Paccar,Capital Goods,United States,18724.0,1298.4,28260.0,32950.0
2022,492,Paccar,Capital Goods,United States,23539.0,1852.1,29302.0,29792.0
