Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,758,Pearson,Media,United Kingdom,8260.0,560,13820.0,10710.0
2009,755,Pearson,Media,United Kingdom,7020.0,430,13690.0,7610.0
2010,549,Pearson,Media,United Kingdom,8810.0,670,15200.0,11590.0
2011,516,Pearson,Media,United Kingdom,8835.0,2023.4,16270.0,14246.0
2012,946,Pearson,Media,United Kingdom,9103.0,166.1,17028.0,15843.0
2013,753,Pearson,Media,United Kingdom,8226.0,530.1,18074.0,14942.0
2014,837,Pearson,Media,United Kingdom,7923.0,514.3,18104.0,14224.0
2015,769,Pearson,Media,United Kingdom,8025.0,775.9,17771.0,17603.0
2016,1269,Pearson,Media,United Kingdom,6826.0,-476.7,17149.0,9799.0
2017,1951,Pearson,Media,United Kingdom,6142.0,-3153.3,12438.0,6519.0
2018,1608,Pearson,Media,United Kingdom,5812.0,522.9,10670.0,9748.0
2019,1549,Pearson,Media,United Kingdom,5506.0,784.0,10068.0,8574.0
