Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1618,Pinnacle West,Utilities,United States,3520.0,310,11240.0,3570.0
2009,1563,Pinnacle West,Utilities,United States,3370.0,240,11620.0,2650.0
2011,1643,Pinnacle West,Utilities,United States,3264.0,350.0,12363.0,4738.0
2012,1703,Pinnacle West,Utilities,United States,3241.0,339.5,13111.0,5137.0
2013,1565,Pinnacle West,Utilities,United States,3302.0,382.0,13380.0,6254.0
2014,1709,Pinnacle West,Utilities,United States,3454.0,406.1,13509.0,5981.0
2015,1748,Pinnacle West,Utilities,United States,3491.0,397.6,14314.0,7134.0
2016,1457,Pinnacle West,Utilities,United States,3495.0,437.3,15028.0,7942.0
2017,1415,Pinnacle West,Utilities,United States,3498.0,442.0,16004.0,9400.0
2018,1679,Pinnacle West,Utilities,United States,3582.0,468.4,17148.0,8744.0
2019,1469,Pinnacle West,Utilities,United States,3665.0,511.0,17664.0,10562.0
2020,1493,Pinnacle West,Utilities,United States,3471.0,538.3,18479.0,8661.0
2021,1656,Pinnacle West,Utilities,United States,3587.0,550.6,20020.0,9572.0
