Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,1056,Porsche Automobil Holding,Consumer Durables,Germany,,48.0,42795.0,19180.0
2013,462,Porsche Automobil Holding,Consumer Durables,Germany,5242.0,10307.0,41148.0,24545.0
2014,577,Porsche Automobil Holding,Consumer Durables,Germany,10.0,3197.0,43109.0,32331.0
2015,695,Porsche Automobil Holding,Consumer Durables,Germany,,4016.0,36864.0,15287.0
2016,672,Porsche Automobil Holding,Consumer Durables,Germany,,3516.9,34910.0,16556.0
2017,788,Porsche Automobil Holding,Consumer Durables,Germany,1.0,1519.9,29963.0,16129.0
2018,675,Porsche Automobil Holding,Consumer Durables,Germany,38.0,3758.3,38061.0,25663.0
2019,667,Porsche Automobil Holding,Consumer Durables,Germany,122.0,4097.0,38514.0,22223.0
2020,675,Porsche Automobil Holding,Consumer Durables,Germany,130.0,4932.5,40083.0,15440.0
2021,606,Porsche Automobil Holding,Consumer Durables,Germany,122.0,2990.2,44503.0,36159.0
2022,673,Porsche Automobil Holding,Consumer Durables,Germany,151.0,5397.0,47832.0,27212.0
