Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,564,Principal Financial Group,Diversified Financials,United States,8710.0,715.0,148298.0,8793.0
2013,528,Principal Financial Group,Insurance,United States,9215.0,805.9,161926.0,10002.0
2014,465,Principal Financial Group,Insurance,United States,9482.0,912.7,208191.0,13851.0
2015,437,Principal Financial Group,Insurance,United States,10525.0,1124.4,219087.0,15114.0
2016,380,Principal Financial Group,Insurance,United States,11912.0,1234.0,218686.0,12815.0
2017,341,Principal Financial Group,Insurance,United States,12529.0,1316.5,228014.0,18040.0
2018,351,Principal Financial Group,Insurance,United States,13987.0,2358.6,253636.0,16905.0
2019,404,Principal Financial Group,Diversified Financials,United States,14254.0,1547.0,243036.0,15360.0
2020,436,Principal Financial Group,Diversified Financials,United States,17083.0,1253.2,246904.0,9972.0
2021,354,Principal Financial Group,Diversified Financials,United States,14742.0,1395.8,296628.0,17225.0
2022,441,Principal Financial Group,Diversified Financials,United States,14263.0,1710.6,304657.0,18247.0
