Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,31,Procter & Gamble,Consumer Durables,United States,79740.0,11130,144400.0,203670.0
2009,22,Procter & Gamble,Consumer Durables,United States,83680.0,14080,138260.0,141180.0
2010,29,Procter & Gamble,Consumer Durables,United States,76780.0,13050,135290.0,184470.0
2011,35,Procter & Gamble,Consumer Durables,United States,79573.0,11184.0,134273.0,172220.0
2012,35,Procter & Gamble,Consumer Durables,United States,85142.0,10097.0,134311.0,185233.0
2013,35,Procter & Gamble,Consumer Durables,United States,83320.0,12913.0,139903.0,208534.0
2014,40,Procter & Gamble,Consumer Durables,United States,84738.0,10896.0,142927.0,217835.0
2015,36,Procter & Gamble,Consumer Durables,United States,81669.0,9532.0,136263.0,224250.0
2016,39,Procter & Gamble,Consumer Durables,United States,69374.0,8446.0,129143.0,218935.0
2017,46,Procter & Gamble,Consumer Durables,United States,65231.0,9533.0,117033.0,228115.0
2018,55,Procter & Gamble,Consumer Durables,United States,66408.0,10074.0,124369.0,184496.0
2019,53,Procter & Gamble,Consumer Durables,United States,66912.0,10795.0,123687.0,265293.0
2020,71,Procter & Gamble,Consumer Durables,United States,70346.0,4986.0,118560.0,291804.0
2021,46,Procter & Gamble,Consumer Durables,United States,73975.0,13848.0,120112.0,337975.0
2022,63,Procter & Gamble,Consumer Durables,United States,79618.0,14596.0,120217.0,386528.0
