Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,137,Prudential,Insurance,United Kingdom,70340.0,1710,419890.0,30000.0
2009,909,Prudential,Insurance,United Kingdom,-14970.0,-580,310010.0,9980.0
2010,129,Prudential,Insurance,United Kingdom,77670.0,1110,361500.0,20050.0
2011,117,Prudential,Insurance,United Kingdom,75598.0,2240.5,408339.0,29393.0
2012,123,Prudential,Insurance,United Kingdom,56687.0,2313.7,419074.0,31852.0
2013,65,Prudential,Insurance,United Kingdom,90205.0,3572.4,489406.0,44653.0
2014,107,Prudential,Insurance,United Kingdom,81867.0,2103.9,528499.0,56098.0
2015,56,Prudential,Insurance,United Kingdom,99001.0,3648.8,564506.0,64526.0
2016,66,Prudential,Insurance,United Kingdom,63106.0,3940.2,558729.0,53392.0
2017,68,Prudential,Insurance,United Kingdom,96936.0,2592.0,568951.0,53669.0
2018,66,Prudential,Insurance,United Kingdom,111476.0,3076.6,655094.0,67756.0
2019,112,Prudential,Insurance,United Kingdom,33285.0,4014.0,633617.0,60200.0
2020,220,Prudential,Insurance,United Kingdom,94519.0,767.5,440358.0,36894.0
2021,105,Prudential,Insurance,United Kingdom,54751.0,2098.6,469502.0,55742.0
2022,541,Prudential,Insurance,United Kingdom,26525.0,-1984.9,189349.0,36705.0
