Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2010,1780,PulteGroup,Construction,United States,4080.0,-1180,10050.0,4170.0
2014,1086,PulteGroup,Construction,United States,5600.0,2602.1,8734.0,7485.0
2015,1557,PulteGroup,Construction,United States,5767.0,471.1,8569.0,8305.0
2016,1532,PulteGroup,Construction,United States,5924.0,490.9,8967.0,6592.0
2017,1284,PulteGroup,Construction,United States,7591.0,597.7,10178.0,7381.0
2018,1422,PulteGroup,Construction,United States,8942.0,520.7,9706.0,8943.0
2019,1169,PulteGroup,Construction,United States,10188.0,1011.0,10173.0,8433.0
2020,1104,PulteGroup,Construction,United States,10511.0,1043.4,11423.0,7581.0
2021,897,PulteGroup,Construction,United States,11036.0,1394.9,12205.0,14340.0
2022,1045,PulteGroup,Construction,United States,13927.0,1930.1,13353.0,10118.0
