Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2009,1343,Qatar Islamic Bank,Banking,Qatar,630.0,450,9210.0,3030.0
2010,1384,Qatar Islamic Bank,Banking,Qatar,640.0,360,10780.0,4220.0
2011,1504,Qatar Islamic Bank,Banking,Qatar,622.0,366.5,14238.0,5008.0
2012,1537,Qatar Islamic Bank,Banking,Qatar,734.0,374.9,15982.0,5023.0
2013,1645,Qatar Islamic Bank,Banking,Qatar,916.0,341.0,20076.0,4648.0
2014,1699,Qatar Islamic Bank,Banking,Qatar,850.0,366.8,21242.0,4861.0
2015,1424,Qatar Islamic Bank,Banking,Qatar,819.0,439.8,26390.0,6431.0
2016,1177,Qatar Islamic Bank,Banking,Qatar,1042.0,555.2,36083.0,6513.0
2017,1229,Qatar Islamic Bank,Banking,Qatar,1077.0,554.8,38437.0,6619.0
2018,1369,Qatar Islamic Bank,Banking,Qatar,1259.0,609.0,41681.0,6660.0
2019,1032,Qatar Islamic Bank,Banking,Qatar,1376.0,717.0,42667.0,10921.0
2020,973,Qatar Islamic Bank,Banking,Qatar,1501.0,783.5,45606.0,10053.0
2021,1001,Qatar Islamic Bank,Banking,Qatar,1774.0,859.0,49496.0,11809.0
2022,964,Qatar Islamic Bank,Banking,Qatar,1822.0,1005.3,52862.0,16396.0
