Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1070,Quanta Computer,Technology Hardware & Equipment,Taiwan,16500.0,400,6960.0,4630.0
2009,720,Quanta Computer,Technology Hardware & Equipment,Taiwan,23980.0,570,10050.0,3730.0
2010,616,Quanta Computer,Technology Hardware & Equipment,Taiwan,24890.0,610,9250.0,7620.0
2011,711,Quanta Computer,Technology Hardware & Equipment,Taiwan,26252.0,697.5,11800.0,7088.0
2012,602,Quanta Computer,Technology Hardware & Equipment,Taiwan,38556.0,637.3,17545.0,9015.0
2013,567,Quanta Computer,Technology Hardware & Equipment,Taiwan,34411.0,779.0,24573.0,8465.0
2014,634,Quanta Computer,Technology Hardware & Equipment,Taiwan,29739.0,629.0,18560.0,10259.0
2015,725,Quanta Computer,Technology Hardware & Equipment,Taiwan,30568.0,623.2,19233.0,9335.0
2016,843,Quanta Computer,Technology Hardware & Equipment,Taiwan,31721.0,561.4,16183.0,6466.0
2017,870,Quanta Computer,Technology Hardware & Equipment,Taiwan,27720.0,469.4,18227.0,7867.0
2018,1020,Quanta Computer,Technology Hardware & Equipment,Taiwan,33566.0,472.2,20612.0,6878.0
2019,939,Quanta Computer,Technology Hardware & Equipment,Taiwan,34091.0,501.0,21455.0,7599.0
2020,835,Quanta Computer,Technology Hardware & Equipment,Taiwan,33307.0,515.7,20503.0,8413.0
2021,632,Quanta Computer,Technology Hardware & Equipment,Taiwan,37048.0,860.2,23626.0,13316.0
2022,716,Quanta Computer,Technology Hardware & Equipment,Taiwan,40436.0,1204.8,25936.0,11133.0
