Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,1442,Quinenco,Conglomerates,Chile,2063.0,306.1,37837.0,3746.0
2012,1197,Quinenco,Conglomerates,Chile,2794.0,624.0,43402.0,4319.0
2013,1611,Quinenco,Conglomerates,Chile,4141.0,168.9,46339.0,4562.0
2014,1162,Quinenco,Conglomerates,Chile,8572.0,287.1,56736.0,3530.0
2015,916,Quinenco,Conglomerates,Chile,9051.0,600.2,52686.0,3538.0
2016,1707,Quinenco,Conglomerates,Chile,3316.0,147.5,50804.0,3227.0
2017,1323,Quinenco,Conglomerates,Chile,6848.0,116.7,54623.0,4301.0
2018,1341,Quinenco,Conglomerates,Chile,7301.0,170.8,61762.0,5406.0
2019,1302,Quinenco,Conglomerates,Chile,8542.0,307.0,60138.0,4541.0
2020,1333,Quinenco,Conglomerates,Chile,8213.0,278.3,63430.0,2427.0
2021,1367,Quinenco,Conglomerates,Chile,6557.0,312.9,74435.0,3762.0
2022,833,Quinenco,Conglomerates,Chile,8465.0,2488.0,72470.0,4839.0
