Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,81,RWE Group,Utilities,Germany,56170.0,3640,119500.0,68190.0
2009,57,RWE Group,Utilities,Germany,66160.0,3560,127640.0,33680.0
2010,60,RWE Group,Utilities,Germany,66570.0,4980,130360.0,47930.0
2011,101,RWE Group,Utilities,Germany,67901.0,4428.4,121660.0,35389.0
2012,143,RWE Group,Utilities,Germany,63670.0,2339.4,116879.0,29863.0
2013,177,RWE Group,Utilities,Germany,66980.0,1722.9,111534.0,22892.0
2014,505,RWE Group,Utilities,Germany,68230.0,-3595.2,111778.0,25059.0
2015,242,RWE Group,Utilities,Germany,61811.0,2260.3,108880.0,15954.0
2016,706,RWE Group,Utilities,Germany,51406.0,-188.5,88839.0,8644.0
2017,698,RWE Group,Utilities,Germany,48219.0,-6295.4,85436.0,10280.0
2018,315,RWE Group,Utilities,Germany,47863.0,2143.1,89599.0,14744.0
2019,626,RWE Group,Utilities,Germany,24794.0,395.0,98259.0,15828.0
2020,297,RWE Group,Utilities,Germany,14690.0,9511.4,79408.0,17668.0
2021,359,RWE Group,Utilities,Germany,15604.0,1134.3,80989.0,27721.0
2022,417,RWE Group,Utilities,Germany,28989.0,852.2,203558.0,28862.0
