Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1140,Randstad Holding,Business Services & Supplies,Netherlands,13430.0,570,4430.0,4470.0
2009,1143,Randstad Holding,Business Services & Supplies,Netherlands,20540.0,30,10780.0,2500.0
2010,1055,Randstad Holding,Business Services & Supplies,Netherlands,17760.0,100,8600.0,7170.0
2011,869,Randstad Holding,Business Services & Supplies,Netherlands,18982.0,385.5,8745.0,8983.0
2012,1243,Randstad Holding,Business Services & Supplies,Netherlands,21017.0,231.6,9152.0,6721.0
2013,1280,Randstad Holding,Business Services & Supplies,Netherlands,22542.0,48.4,8296.0,7607.0
2014,1064,Randstad Holding,Business Services & Supplies,Netherlands,21996.0,306.3,9105.0,10556.0
2015,989,Randstad Holding,Business Services & Supplies,Netherlands,22881.0,451.1,8202.0,11224.0
2016,924,Randstad Holding,Business Services & Supplies,Netherlands,21313.0,575.3,8175.0,9834.0
2017,908,Randstad Holding,Business Services & Supplies,Netherlands,22881.0,650.4,9983.0,10272.0
2018,891,Randstad Holding,Business Services & Supplies,Netherlands,27344.0,751.0,11978.0,11730.0
