Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,193,Reliance Industries,Oil & Gas Operations,India,26070.0,2790,30670.0,89290.0
2009,121,Reliance Industries,Oil & Gas Operations,India,34030.0,4870,43610.0,35950.0
2010,126,Reliance Industries,Oil & Gas Operations,India,29400.0,2910,48500.0,69360.0
2011,121,Reliance Industries,Oil & Gas Operations,India,45328.0,5466.6,57789.0,71723.0
2012,124,Reliance Industries,Oil & Gas Operations,India,59504.0,4331.4,68958.0,50370.0
2013,121,Reliance Industries,Oil & Gas Operations,India,70319.0,3877.7,64224.0,50409.0
2014,135,Reliance Industries,Oil & Gas Operations,India,72752.0,3826.3,67240.0,50931.0
2015,142,Reliance Industries,Oil & Gas Operations,India,71734.0,3721.9,76589.0,42926.0
2016,121,Reliance Industries,Oil & Gas Operations,India,42239.0,4220.2,91542.0,50589.0
2017,106,Reliance Industries,Oil & Gas Operations,India,41792.0,4349.1,97895.0,71165.0
2018,83,Reliance Industries,Oil & Gas Operations,India,60757.0,5596.0,125165.0,93066.0
2019,71,Reliance Industries,Oil & Gas Operations,India,79687.0,5649.0,124554.0,126409.0
2020,58,Reliance Industries,Oil & Gas Operations,India,84787.0,6158.2,147164.0,123844.0
2021,55,Reliance Industries,Oil & Gas Operations,India,61195.0,5699.9,166258.0,164908.0
2022,54,Reliance Industries,Oil & Gas Operations,India,86854.0,7808.0,192590.0,228630.0
