Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,1424,Renesas Electronics,Semiconductors,Japan,13689.0,-1383.7,13790.0,2808.0
2013,1751,Renesas Electronics,Semiconductors,Japan,10668.0,-756.2,10400.0,1127.0
2014,1447,Renesas Electronics,Semiconductors,Japan,8378.0,44.2,7571.0,12619.0
2015,1172,Renesas Electronics,Semiconductors,Japan,7646.0,546.6,7128.0,12551.0
2016,1191,Renesas Electronics,Semiconductors,Japan,5846.0,702.5,7172.0,10095.0
2017,1150,Renesas Electronics,Semiconductors,Japan,5780.0,568.8,7057.0,16440.0
2018,1079,Renesas Electronics,Semiconductors,Japan,7126.0,827.1,9555.0,16737.0
2019,1600,Renesas Electronics,Semiconductors,Japan,6857.0,494.0,8821.0,9186.0
2020,1660,Renesas Electronics,Semiconductors,Japan,6868.0,141.4,15356.0,9281.0
2021,1213,Renesas Electronics,Semiconductors,Japan,6703.0,426.8,15584.0,20381.0
2022,888,Renesas Electronics,Semiconductors,Japan,9051.0,1158.3,20896.0,20806.0
