Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1266,Rexel,Trading Companies,France,15630.0,210,11310.0,4040.0
2009,1004,Rexel,Trading Companies,France,17910.0,320,13830.0,1430.0
2010,1277,Rexel,Trading Companies,France,16220.0,120,12990.0,3320.0
2011,976,Rexel,Trading Companies,France,16011.0,305.9,12408.0,6084.0
2012,966,Rexel,Consumer Durables,France,16473.0,412.3,12451.0,5793.0
2013,939,Rexel,Consumer Durables,France,17743.0,420.0,13374.0,6378.0
2014,1100,Rexel,Consumer Durables,France,17275.0,279.6,14526.0,7448.0
2015,1428,Rexel,Consumer Durables,France,17351.0,265.0,13529.0,5726.0
2016,1553,Rexel,Consumer Durables,France,15084.0,85.3,11921.0,4322.0
2017,1624,Rexel,Consumer Durables,France,14560.0,152.5,11469.0,5288.0
2018,1668,Rexel,Consumer Durables,France,15385.0,120.8,12203.0,4735.0
2019,1719,Rexel,Trading Companies,France,15764.0,178.0,11826.0,3856.0
2020,1802,Rexel,Trading Companies,France,15381.0,228.8,12431.0,2831.0
2021,1936,Rexel,Trading Companies,France,14355.0,-297.8,12190.0,6342.0
2022,1535,Rexel,Trading Companies,France,17364.0,705.9,13139.0,6727.0
