Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,562,Richemont,Consumer Durables,Switzerland,6320.0,1740,12180.0,33450.0
2009,481,Richemont,Consumer Durables,Switzerland,8770.0,2600,15060.0,7610.0
2010,543,Richemont,Retailing,Switzerland,7330.0,1450,9470.0,20000.0
2011,645,Richemont,Retailing,Switzerland,7376.0,853.6,10033.0,32204.0
2012,510,Richemont,Retailing,Switzerland,9953.0,1574.1,13295.0,36920.0
2013,447,Richemont,Retailing,Switzerland,11871.0,2067.1,15069.0,48928.0
2014,371,Richemont,Retailing,Switzerland,13600.0,2776.0,21129.0,54275.0
2015,374,Richemont,Retailing,Switzerland,14588.0,2430.6,22070.0,47322.0
2016,416,Richemont,Retailing,Switzerland,12352.0,1723.5,21150.0,37578.0
2017,472,Richemont,Retailing,Switzerland,11483.0,1140.5,22610.0,44337.0
2018,487,Richemont,Retailing,Switzerland,12328.0,1820.0,22775.0,54520.0
2019,360,Richemont,Consumer Durables,Switzerland,14486.0,2969.0,33433.0,42378.0
2020,401,Richemont,Consumer Durables,Switzerland,16441.0,1575.3,33973.0,32090.0
2021,699,Richemont,Consumer Durables,Switzerland,13798.0,248.9,38438.0,59163.0
2022,328,Richemont,Retailing,Switzerland,19808.0,2837.1,42581.0,69456.0
