Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1194,Rite Aid,Retailing,United States,22140.0,-110,12550.0,2120.0
2009,1232,Rite Aid,Retailing,United States,26410.0,-1570,11130.0,240.0
2010,1361,Rite Aid,Retailing,United States,25910.0,-2590,8600.0,1340.0
2011,1491,Rite Aid,Retailing,United States,25222.0,-558.1,7816.0,1077.0
2012,1590,Rite Aid,Retailing,United States,25431.0,-413.0,7557.0,1797.0
2013,1646,Rite Aid,Retailing,United States,26084.0,-166.2,7186.0,1735.0
2014,1370,Rite Aid,Retailing,United States,25384.0,291.5,7138.0,6176.0
2015,1215,Rite Aid,Retailing,United States,26278.0,329.5,7186.0,8679.0
2016,1138,Rite Aid,Retailing,United States,30737.0,165.5,11277.0,8414.0
2017,1429,Rite Aid,Retailing,United States,32574.0,90.8,11659.0,4847.0
2018,1595,Rite Aid,Retailing,United States,26208.0,-1186.0,8989.0,1718.0
2019,1683,Rite Aid,Retailing,United States,21640.0,-422.2,7591.0,525.0
2020,1706,Rite Aid,Retailing,United States,21928.0,-452.2,10518.0,784.0
2021,1713,Rite Aid,Retailing,United States,24043.0,-90.9,9335.0,974.0
2022,1735,Rite Aid,Retailing,United States,24568.0,-538.5,8529.0,414.0
