Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,55,Royal Bank of Canada,Banking,Canada,43570.0,5770,629960.0,64410.0
2009,68,Royal Bank of Canada,Banking,Canada,30010.0,3520,575210.0,34290.0
2010,53,Royal Bank of Canada,Banking,Canada,35410.0,3580,608050.0,78170.0
2011,68,Royal Bank of Canada,Banking,Canada,31762.0,5563.6,720930.0,87194.0
2012,70,Royal Bank of Canada,Banking,Canada,35889.0,4693.6,812700.0,84398.0
2013,50,Royal Bank of Canada,Banking,Canada,38330.0,7665.8,838549.0,87179.0
2014,55,Royal Bank of Canada,Banking,Canada,37815.0,8038.7,811439.0,95702.0
2015,53,Royal Bank of Canada,Banking,Canada,38869.0,8328.1,857049.0,89306.0
2016,52,Royal Bank of Canada,Banking,Canada,33090.0,7650.5,852977.0,90722.0
2017,44,Royal Bank of Canada,Banking,Canada,35285.0,8348.5,891096.0,107205.0
2018,42,Royal Bank of Canada,Banking,Canada,40491.0,8837.2,1040286.0,113418.0
