Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,319,SAP,IT Software & Services,Germany,14960.0,2810,14930.0,57770.0
2009,268,SAP,IT Software & Services,Germany,16110.0,2630,19310.0,38470.0
2010,263,SAP,IT Software & Services,Germany,15290.0,2560,18730.0,55270.0
2011,248,SAP,IT Software & Services,Germany,16685.0,2431.1,27794.0,71862.0
2012,227,SAP,IT Software & Services,Germany,18435.0,4456.0,29578.0,88080.0
2013,211,SAP,IT Software & Services,Germany,20859.0,3634.0,35460.0,103926.0
2014,207,SAP,IT Software & Services,Germany,22324.0,4417.0,37334.0,97120.0
2015,190,SAP,IT Software & Services,Germany,23294.0,4344.1,46595.0,90240.0
2016,179,SAP,IT Software & Services,Germany,23208.0,3561.6,48868.0,98375.0
2017,178,SAP,IT Software & Services,Germany,24406.0,4016.6,46701.0,119722.0
2018,181,SAP,IT Software & Services,Germany,27389.0,4912.8,51030.0,138862.0
2019,176,SAP,IT Software & Services,Germany,29149.0,4823.0,58862.0,134852.0
2020,150,SAP,IT Software & Services,Germany,31089.0,4738.5,69069.0,142428.0
2021,123,SAP,IT Software & Services,Germany,31656.0,6291.3,71543.0,164227.0
2022,169,SAP,IT Software & Services,Germany,33183.0,5638.6,80933.0,124016.0
