Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,951,SK Hynix,Semiconductors,South Korea,9552.0,-149.0,17066.0,18003.0
2014,439,SK Hynix,Semiconductors,South Korea,12939.0,2623.8,19787.0,24945.0
2015,354,SK Hynix,Semiconductors,South Korea,16269.0,3985.6,24458.0,29994.0
2016,377,SK Hynix,Semiconductors,South Korea,16609.0,3819.0,25311.0,17513.0
2017,349,SK Hynix,Semiconductors,South Korea,14823.0,2545.9,26673.0,31958.0
2018,200,SK Hynix,Semiconductors,South Korea,29288.0,10678.8,46088.0,56845.0
2019,179,SK Hynix,Semiconductors,South Korea,36751.0,14121.0,57052.0,47645.0
2020,296,SK Hynix,Semiconductors,South Korea,23176.0,1318.3,55155.0,46987.0
2021,173,SK Hynix,Semiconductors,South Korea,27037.0,4030.1,65520.0,84248.0
2022,170,SK Hynix,Semiconductors,South Korea,37547.0,8385.1,81082.0,61315.0
