Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,538,SK Telecom,Telecommunications services,South Korea,14401.0,1457.3,21026.0,9789.0
2013,555,SK Telecom,Telecommunications services,South Korea,14478.0,1023.0,24062.0,11517.0
2014,460,SK Telecom,Telecommunications services,South Korea,15251.0,1496.5,25183.0,16566.0
2015,456,SK Telecom,Telecommunications services,South Korea,16305.0,1695.1,25421.0,20295.0
2016,506,SK Telecom,Telecommunications services,South Korea,15141.0,1326.9,24375.0,14155.0
2017,501,SK Telecom,Telecommunications services,South Korea,14732.0,1430.0,25913.0,16325.0
2018,476,SK Telecom,Telecommunications services,South Korea,15721.0,2420.0,33900.0,16979.0
2019,471,SK Telecom,Telecommunications Services,South Korea,15333.0,2828.0,37972.0,15455.0
2020,615,SK Telecom,Telecommunications Services,South Korea,15215.0,750.4,38576.0,12695.0
2021,474,SK Telecom,Telecommunications Services,South Korea,15785.0,1262.5,44101.0,19296.0
2022,772,SK Telecom,Telecommunications Services,South Korea,14626.0,2089.5,26003.0,10816.0
