Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,380,Sampo,Insurance,Finland,7470.0,4890,36270.0,15710.0
2009,529,Sampo,Insurance,Finland,6470.0,940,28580.0,7440.0
2010,409,Sampo,Insurance,Finland,8040.0,920,37410.0,13690.0
2011,439,Sampo,Insurance,Finland,8276.0,1477.9,39266.0,17128.0
2012,503,Sampo,Insurance,Finland,7185.0,1344.6,38311.0,16256.0
2013,430,Sampo,Insurance,Finland,8354.0,1852.2,41425.0,22156.0
2014,408,Sampo,Insurance,Finland,8730.0,1927.7,44307.0,29741.0
2015,427,Sampo,Insurance,Finland,8867.0,2042.7,41785.0,29398.0
2016,449,Sampo,Insurance,Finland,7423.0,1836.4,38465.0,25437.0
2017,493,Sampo,Insurance,Finland,6867.0,1825.2,39810.0,26458.0
2018,459,Sampo,Insurance,Finland,7845.0,2525.4,58881.0,29186.0
2019,465,Sampo,Insurance,Finland,9493.0,1990.0,56094.0,25757.0
2020,466,Sampo,Insurance,Finland,12672.0,1265.9,58065.0,18394.0
2021,764,Sampo,Insurance,Finland,11002.0,43.3,66938.0,27070.0
2022,395,Sampo,Insurance,Finland,15900.0,3033.0,66858.0,27288.0
