Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,59,Samsung Electronics,Semiconductors,South Korea,92260.0,8560,87490.0,87840.0
2009,47,Samsung Electronics,Semiconductors,South Korea,104420.0,7870,99470.0,45820.0
2010,55,Samsung Electronics,Semiconductors,South Korea,97280.0,4430,83300.0,94480.0
2011,33,Samsung Electronics,Semiconductors,South Korea,133789.0,13669.6,119309.0,112934.0
2012,26,Samsung Electronics,Semiconductors,South Korea,142397.0,11529.0,133695.0,161965.0
2013,20,Samsung Electronics,Semiconductors,South Korea,187846.0,21657.0,196311.0,174393.0
2014,22,Samsung Electronics,Semiconductors,South Korea,208897.0,27239.8,202847.0,186472.0
2015,18,Samsung Electronics,Semiconductors,South Korea,195891.0,21927.8,209637.0,199356.0
2016,18,Samsung Electronics,Semiconductors,South Korea,177286.0,16517.6,206541.0,161550.0
2017,15,Samsung Electronics,Semiconductors,South Korea,173995.0,19320.7,217068.0,254303.0
2018,14,Samsung Electronics,Semiconductors,South Korea,224644.0,40994.1,293154.0,325865.0
2019,13,Samsung Electronics,Technology Hardware & Equipment,South Korea,221506.0,39882.0,304138.0,272424.0
2020,16,Samsung Electronics,Technology Hardware & Equipment,South Korea,197568.0,18440.5,304868.0,278742.0
2021,11,Samsung Electronics,Technology Hardware & Equipment,South Korea,200703.0,22113.0,348187.0,510507.0
