Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,296,Samsung Life Insurance,Insurance,South Korea,21786.0,800.1,117691.0,18945.0
2012,236,Samsung Life Insurance,Insurance,South Korea,23319.0,1755.5,133568.0,17053.0
2013,330,Samsung Life Insurance,Insurance,South Korea,19089.0,837.0,142158.0,17739.0
2014,356,Samsung Life Insurance,Insurance,South Korea,21831.0,714.2,182792.0,17995.0
2015,300,Samsung Life Insurance,Insurance,South Korea,24309.0,1270.6,195038.0,17861.0
2016,285,Samsung Life Insurance,Insurance,South Korea,22429.0,1070.2,196413.0,19488.0
2017,253,Samsung Life Insurance,Insurance,South Korea,24145.0,1770.6,219069.0,18167.0
2018,338,Samsung Life Insurance,Insurance,South Korea,25303.0,1032.0,264019.0,21449.0
2019,353,Samsung Life Insurance,Insurance,South Korea,26868.0,1512.0,259313.0,13425.0
2020,529,Samsung Life Insurance,Insurance,South Korea,23771.0,838.1,270357.0,7236.0
2021,390,Samsung Life Insurance,Insurance,South Korea,24299.0,1072.8,309720.0,12997.0
2022,533,Samsung Life Insurance,Insurance,South Korea,25444.0,1283.2,287058.0,9593.0
