Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2012,78,Sanofi,Drugs & Biotechnology,France,43250.0,7374.4,125313.0,103338.0
2013,72,Sanofi,Drugs & Biotechnology,France,46104.0,6553.0,132377.0,131591.0
2014,87,Sanofi,Drugs & Biotechnology,France,43746.0,4934.8,132373.0,137140.0
2015,89,Sanofi,Drugs & Biotechnology,France,44794.0,5823.1,117849.0,135957.0
2016,89,Sanofi,Drugs & Biotechnology,France,40473.0,4753.9,111151.0,115374.0
2017,88,Sanofi,Drugs & Biotechnology,France,37413.0,5209.1,110403.0,116109.0
2018,117,Sanofi,Drugs & Biotechnology,France,39540.0,4276.0,119871.0,94905.0
2019,114,Sanofi,Drugs & Biotechnology,France,40658.0,5095.0,127356.0,102042.0
2020,117,Sanofi,Drugs & Biotechnology,France,40434.0,3253.7,126546.0,122486.0
2021,72,Sanofi,Drugs & Biotechnology,France,41086.0,14037.6,140132.0,127367.0
2022,99,Sanofi,Drugs & Biotechnology,France,44633.0,7355.5,136739.0,136857.0
