Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,145,Saudi Basic Industries,Chemicals,Saudi Arabia,23020.0,5410,44420.0,124850.0
2009,86,Saudi Basic Industries,Chemicals,Saudi Arabia,40620.0,5870,72390.0,31440.0
2010,110,Saudi Basic Industries,Chemicals,Saudi Arabia,27490.0,2420,78980.0,71200.0
2011,95,Saudi Basic Industries,Chemicals,Saudi Arabia,40526.0,5741.0,84288.0,81196.0
2012,88,Saudi Basic Industries,Chemicals,Saudi Arabia,50647.0,7790.1,88625.0,84390.0
2013,94,Saudi Basic Industries,Chemicals,Saudi Arabia,50394.0,6606.0,90238.0,74796.0
2014,98,Saudi Basic Industries,Chemicals,Saudi Arabia,50404.0,6740.3,90408.0,94403.0
2015,116,Saudi Basic Industries,Chemicals,Saudi Arabia,50361.0,6247.4,90888.0,64004.0
2016,113,Saudi Basic Industries,Chemicals,Saudi Arabia,39766.0,5007.6,87434.0,63468.0
2017,117,Saudi Basic Industries,Chemicals,Saudi Arabia,35413.0,4756.1,84464.0,80696.0
2018,120,Saudi Basic Industries,Chemicals,Saudi Arabia,41896.0,4978.5,90518.0,91839.0
2019,122,Saudi Basic Industries,Chemicals,Saudi Arabia,45056.0,5744.0,85337.0,99999.0
2020,212,Saudi Basic Industries,Chemicals,Saudi Arabia,37258.0,1483.3,83353.0,59840.0
2021,481,Saudi Basic Industries,Chemicals,Saudi Arabia,31337.0,37.0,79966.0,93254.0
