Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1169,Schindler Holding,Capital Goods,Switzerland,11760.0,220,6180.0,8580.0
2009,812,Schindler Holding,Capital Goods,Switzerland,13070.0,580,6260.0,5830.0
2010,739,Schindler Holding,Capital Goods,Switzerland,12380.0,600,6710.0,9590.0
2011,832,Schindler Holding,Capital Goods,Switzerland,7876.0,651.3,7956.0,13184.0
2012,909,Schindler Holding,Capital Goods,Switzerland,8164.0,662.0,8002.0,14460.0
2013,842,Schindler Holding,Capital Goods,Switzerland,8853.0,766.4,8307.0,17480.0
2014,992,Schindler Holding,Capital Goods,Switzerland,9506.0,466.0,8767.0,17148.0
2015,840,Schindler Holding,Capital Goods,Switzerland,10100.0,985.3,8978.0,18864.0
2016,844,Schindler Holding,Capital Goods,Switzerland,9753.0,775.8,8251.0,20392.0
2017,892,Schindler Holding,Capital Goods,Switzerland,9829.0,775.5,8169.0,19819.0
2018,913,Schindler Holding,Capital Goods,Switzerland,10342.0,837.2,8852.0,23026.0
2019,864,Schindler Holding,Capital Goods,Switzerland,11116.0,964.0,10120.0,23307.0
2020,811,Schindler Holding,Capital Goods,Switzerland,11342.0,868.4,10944.0,23872.0
2021,789,Schindler Holding,Capital Goods,Switzerland,11336.0,769.2,12305.0,33424.0
2022,1034,Schindler Holding,Capital Goods,Switzerland,12290.0,905.6,13142.0,21510.0
