Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,310,Schneider Electric,Capital Goods,France,18110.0,1730,24130.0,28180.0
2009,208,Schneider Electric,Capital Goods,France,25500.0,2340,33190.0,15020.0
2010,227,Schneider Electric,Capital Goods,France,22020.0,1190,34610.0,28050.0
2011,196,Schneider Electric,Capital Goods,France,26212.0,2302.6,40284.0,43278.0
2012,195,Schneider Electric,Capital Goods,France,31172.0,2534.2,46508.0,38435.0
2013,204,Schneider Electric,Capital Goods,France,31591.0,2427.4,45367.0,42162.0
2014,196,Schneider Electric,Capital Goods,France,31267.0,2506.5,50968.0,50736.0
2015,206,Schneider Electric,Capital Goods,France,33080.0,2574.6,49803.0,47506.0
2016,248,Schneider Electric,Capital Goods,France,29542.0,1560.2,46251.0,39281.0
2017,250,Schneider Electric,Capital Goods,France,27315.0,1935.8,44142.0,41911.0
2018,256,Schneider Electric,Capital Goods,France,27908.0,2425.1,47851.0,48385.0
2019,252,Schneider Electric,Capital Goods,France,30343.0,2754.0,48308.0,47553.0
2020,227,Schneider Electric,Capital Goods,France,30397.0,2700.7,50516.0,50363.0
2021,199,Schneider Electric,Capital Goods,France,28681.0,2423.6,60544.0,91308.0
2022,226,Schneider Electric,Capital Goods,France,34165.0,3787.1,62031.0,85355.0
