Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1579,Securitas,Business Services & Supplies,Sweden,9730.0,80,6060.0,4420.0
2009,1416,Securitas,Business Services & Supplies,Sweden,7260.0,300,4520.0,2560.0
2010,1311,Securitas,Business Services & Supplies,Sweden,8750.0,300,4310.0,3960.0
2011,1582,Securitas,Business Services & Supplies,Sweden,9135.0,310.2,4633.0,4187.0
2014,1920,Securitas,Business Services & Supplies,Sweden,10084.0,284.3,5798.0,4302.0
2015,1935,Securitas,Business Services & Supplies,Sweden,10228.0,301.3,5248.0,5483.0
2016,1709,Securitas,Business Services & Supplies,Sweden,9585.0,288.8,4835.0,5955.0
2017,1770,Securitas,Business Services & Supplies,Sweden,10297.0,308.6,5328.0,5775.0
2018,1989,Securitas,Business Services & Supplies,Sweden,11126.0,335.7,6188.0,5884.0
2019,1978,Securitas,Business Services & Supplies,Sweden,11662.0,347.0,6256.0,6289.0
2020,1941,Securitas,Business Services & Supplies,Sweden,11722.0,354.8,6643.0,4314.0
