Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,458,Sempra Energy,Utilities,United States,11440.0,1100,30090.0,13880.0
2009,409,Sempra Energy,Utilities,United States,10760.0,1110,26400.0,10120.0
2010,433,Sempra Energy,Utilities,United States,8110.0,1130,28510.0,12150.0
2011,538,Sempra Energy,Oil & Gas Operations,United States,9003.0,749.0,30283.0,12930.0
2012,477,Sempra Energy,Oil & Gas Operations,United States,10036.0,1365.0,33356.0,14125.0
2013,500,Sempra Energy,Oil & Gas Operations,United States,9647.0,865.0,36499.0,19225.0
2014,472,Sempra Energy,Oil & Gas Operations,United States,10558.0,1009.0,37244.0,23641.0
2015,455,Sempra Energy,Oil & Gas Operations,United States,11000.0,1162.0,39732.0,27324.0
2016,409,Sempra Energy,Oil & Gas Operations,United States,10188.0,1350.0,41150.0,25214.0
2017,404,Sempra Energy,Oil & Gas Operations,United States,10198.0,1337.0,47786.0,27486.0
2018,768,Sempra Energy,Oil & Gas Operations,United States,11128.0,191.0,60485.0,28284.0
2019,459,Sempra Energy,Oil & Gas Operations,United States,11661.0,1050.0,60638.0,34930.0
2020,338,Sempra Energy,Oil & Gas Operations,United States,10810.0,2198.0,65665.0,36213.0
2021,278,Sempra Energy,Oil & Gas Operations,United States,11351.0,3943.0,66623.0,41800.0
