Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1208,Shanghai Electric Group,Capital Goods,China,5460.0,260,8150.0,8680.0
2009,782,Shanghai Electric Group,Capital Goods,China,7530.0,390,10380.0,10160.0
2010,663,Shanghai Electric Group,Capital Goods,China,8430.0,370,11910.0,14240.0
2011,803,Shanghai Electric Group,Capital Goods,China,8301.0,359.4,12995.0,14948.0
2012,862,Shanghai Electric Group,Capital Goods,China,9552.0,422.3,14735.0,10716.0
2013,848,Shanghai Electric Group,Capital Goods,China,12139.0,430.0,18285.0,7956.0
2014,938,Shanghai Electric Group,Capital Goods,China,12844.0,400.1,21357.0,7296.0
2015,740,Shanghai Electric Group,Capital Goods,China,12387.0,414.8,23138.0,20896.0
2016,790,Shanghai Electric Group,Capital Goods,China,12325.0,340.0,24967.0,14036.0
2017,1113,Shanghai Electric Group,Capital Goods,China,11789.0,311.7,25273.0,6741.0
2018,943,Shanghai Electric Group,Capital Goods,China,11949.0,396.0,31609.0,11993.0
2019,802,Shanghai Electric Group,Capital Goods,China,15226.0,459.0,31888.0,13244.5
2020,1059,Shanghai Electric Group,Capital Goods,China,15075.0,446.7,37082.0,4650.0
2021,869,Shanghai Electric Group,Capital Goods,China,18406.0,536.3,40399.0,5474.0
2022,1224,Shanghai Electric Group,Capital Goods,China,19888.0,-1557.0,31744.0,8213.0
