Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2013,125,Shanghai Pudong Development,Banking,China,25423.0,5418.0,504524.0,31552.0
2014,130,Shanghai Pudong Development,Banking,China,31682.0,6656.5,607893.0,29241.0
2015,84,Shanghai Pudong Development,Banking,China,38243.0,7632.0,676326.0,49235.0
2016,57,Shanghai Pudong Development,Banking,China,41393.0,8051.4,776819.0,55209.0
2017,64,Shanghai Pudong Development,Banking,China,40060.0,7992.6,842832.0,50451.0
2018,70,Shanghai Pudong Development,Banking,China,48301.0,8163.2,974775.0,50739.0
2019,65,Shanghai Pudong Development,Banking,China,50023.0,8450.0,916091.0,52138.0
2020,65,Shanghai Pudong Development,Banking,China,50001.0,8585.4,1029252.0,44244.0
2021,68,Shanghai Pudong Development,Banking,China,52256.0,8450.2,1215667.0,47428.0
2022,108,Shanghai Pudong Development,Banking,China,54773.0,8468.9,1247941.0,36603.0
