Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2011,1583,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,2200.0,449.1,7366.0,6901.0
2012,1793,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,2508.0,461.1,7274.0,6316.0
2013,1388,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,3001.0,610.0,11708.0,6729.0
2014,1459,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,3747.0,717.1,14532.0,5483.0
2015,1147,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,3908.0,774.9,15293.0,11243.0
2016,1164,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,4116.0,715.4,16225.0,8568.0
2017,1119,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,4263.0,775.4,20352.0,8933.0
2018,1002,Shenzhen Overseas,"Hotels, Restaurants & Leisure",China,4337.0,1036.9,37996.0,10555.0
2019,808,Shenzhen Overseas,Business Services & Supplies,China,5740.0,1600.0,42846.0,10327.0
2020,760,Shenzhen Overseas,Business Services & Supplies,China,6599.0,1719.6,56866.0,7557.0
2021,550,Shenzhen Overseas,Business Services & Supplies,China,10688.0,1810.6,69817.0,12564.0
2022,985,Shenzhen Overseas,Business Services & Supplies,China,14880.0,589.1,75323.0,8537.0
