Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1091,Sherwin Williams,Retailing,United States,8010.0,620,4860.0,6360.0
2009,962,Sherwin Williams,Retailing,United States,7980.0,480,4420.0,5390.0
2010,1020,Sherwin Williams,Retailing,United States,7090.0,440,4320.0,6980.0
2011,1092,Sherwin Williams,Retailing,United States,7776.0,462.5,5169.0,8875.0
2012,1091,Sherwin Williams,Retailing,United States,8766.0,441.9,5229.0,11109.0
2013,890,Sherwin Williams,Retailing,United States,9534.0,629.9,6235.0,17442.0
2014,856,Sherwin Williams,Retailing,United States,10186.0,748.0,6383.0,19932.0
2015,798,Sherwin Williams,Retailing,United States,11130.0,861.0,5706.0,27273.0
2016,722,Sherwin Williams,Retailing,United States,11463.0,1065.6,5792.0,27578.0
2017,724,Sherwin Williams,Retailing,United States,11856.0,1115.0,6753.0,29159.0
2018,498,Sherwin Williams,Retailing,United States,16187.0,1783.2,20368.0,35649.0
2019,538,Sherwin Williams,Chemicals,United States,17534.0,1109.0,19134.0,41932.0
2020,448,Sherwin Williams,Chemicals,United States,18007.0,1617.7,20570.0,48702.0
2021,382,Sherwin Williams,Chemicals,United States,18362.0,2030.4,20402.0,71435.0
2022,503,Sherwin Williams,Chemicals,United States,19945.0,1864.4,20667.0,64217.0
