Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1857,Sika,Chemicals,Switzerland,4030.0,300,2870.0,4720.0
2011,1701,Sika,Chemicals,Switzerland,4728.0,332.8,4124.0,5487.0
2013,1931,Sika,Construction,Switzerland,5152.0,298.2,4660.0,6250.0
2014,1495,Sika,Construction,Switzerland,5547.0,369.1,5321.0,10202.0
2015,1445,Sika,Construction,Switzerland,6086.0,480.1,5168.0,9372.0
2016,1316,Sika,Construction,Switzerland,5701.0,478.0,4919.0,10294.0
2017,1158,Sika,Construction,Switzerland,5834.0,571.6,5017.0,15440.0
2018,1131,Sika,Construction,Switzerland,6348.0,653.8,5944.0,20643.0
2019,1076,Sika,Chemicals,Switzerland,7240.0,698.0,6474.0,21200.0
2020,960,Sika,Chemicals,Switzerland,8160.0,756.6,10376.0,23453.0
2021,805,Sika,Chemicals,Switzerland,8393.0,878.4,11410.0,41758.0
2022,857,Sika,Chemicals,Switzerland,10120.0,1146.2,11951.0,49365.0
