Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,691,Sime Darby,Conglomerates,Malaysia,7940.0,740,9680.0,21820.0
2009,569,Sime Darby,Conglomerates,Malaysia,10410.0,1070,10790.0,9160.0
2010,599,Sime Darby,Conglomerates,Malaysia,8820.0,650,9920.0,15270.0
2011,910,Sime Darby,Conglomerates,Malaysia,10125.0,224.0,11417.0,17850.0
2012,530,Sime Darby,Conglomerates,Malaysia,13861.0,1213.4,13987.0,19163.0
2013,542,Sime Darby,Conglomerates,Malaysia,15012.0,1309.0,14905.0,17330.0
2014,598,Sime Darby,Conglomerates,Malaysia,14427.0,1090.2,15217.0,17062.0
2015,709,Sime Darby,Conglomerates,Malaysia,13348.0,867.8,14849.0,15954.0
2016,813,Sime Darby,Conglomerates,Malaysia,11475.0,505.5,15207.0,12870.0
2017,791,Sime Darby,Conglomerates,Malaysia,10717.0,697.0,15397.0,14292.0
2018,1535,Sime Darby,Conglomerates,Malaysia,8746.0,677.3,6118.0,4631.0
