Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value
2008,1424,Sino Land,Diversified Financials,Hong Kong/China,970.0,430,9560.0,5390.0
2009,1041,Sino Land,Diversified Financials,Hong Kong/China,810.0,600,11350.0,4720.0
2010,1396,Sino Land,Diversified Financials,Hong Kong/China,1260.0,230,11770.0,5490.0
2011,1596,Sino Land,Real Estate,Hong Kong-China,999.0,422.1,12478.0,4466.0
2012,1486,Sino Land,Real Estate,Hong Kong-China,772.0,698.5,14194.0,3927.0
2013,1534,Sino Land,Real Estate,Hong Kong-China,1091.0,644.0,14717.0,3858.0
2014,1551,Sino Land,Real Estate,Hong Kong,674.0,565.9,17387.0,3780.0
2015,1643,Sino Land,Real Estate,Hong Kong,1408.0,499.4,18335.0,4511.0
2016,1510,Sino Land,Real Estate,Hong Kong,2927.0,624.5,18686.0,4618.0
2017,1722,Sino Land,Real Estate,Hong Kong,2164.0,438.9,19324.0,5203.0
2018,1472,Sino Land,Real Estate,Hong Kong,1549.0,960.7,20304.0,5870.0
